kom2024,aar,parti,stemmer,total_stemmer_alle_partier,prosent_alle
1114,2003,05,426,1237,34.44
1114,2003,06,0,1237,0.0
1114,2003,07,0,1237,0.0
1114,2003,08,0,1237,0.0
1114,2003,55,0,1237,0.0
1114,2007,01,141,1323,10.66
1114,2007,02,0,1323,0.0
1114,2007,03,365,1323,27.59
1114,2007,04,304,1323,22.98
1114,2007,05,411,1323,31.07
1114,2007,06,0,1323,0.0
1114,2007,07,102,1323,7.71
1114,2007,08,0,1323,0.0
1114,2007,55,0,1323,0.0
1114,2011,01,150,1360,11.03
1114,2011,02,104,1360,7.65
1114,2011,03,477,1360,35.07
1114,2011,04,249,1360,18.31
1114,2011,05,304,1360,22.35
1114,2011,06,0,1360,0.0
1114,2011,07,76,1360,5.59
1114,2011,08,0,1360,0.0
1114,2011,55,0,1360,0.0
1114,2015,01,201,1472,13.65
1114,2015,02,82,1472,5.57
1114,2015,03,344,1472,23.37
1114,2015,04,333,1472,22.62
1114,2015,05,426,1472,28.94
