kode,aar,befolkning
0214,1954,5159
0214,1955,5316
0214,1956,5647
0214,1957,5714
0214,1958,5709
0214,1959,5901
0214,1960,6016
0214,1961,6323
0214,1962,6486
0214,1963,6683
0214,1964,6983
0214,1965,7313
0214,1966,7541
0214,1967,7832
0214,1968,8297
0214,1969,8588
0214,1970,8935
0214,1971,9338
0214,1972,9622
0214,1973,9867
0214,1974,10164
0214,1975,10476
0214,1976,10756
0214,1977,10781
0214,1978,10931
0214,1979,11050
0214,1980,10962
0214,1981,11015
0214,1982,11162
0214,1983,11294
0214,1984,11374
0214,1985,11410
0214,1986,11351
0214,1987,11403
0214,1988,11597
0214,1989,11765
0214,1990,11917
0215,1951,2685
0215,1952,2785
0215,1953,2865
0215,1954,2894
0215,1955,2865
0215,1956,2866
0215,1957,2902
0215,1958,2973
0215,1959,2968
0215,1960,2989
0215,1961,3050
0215,1962,5851
0215,1963,5957
0215,1964,6033
0215,1965,6211
0215,1966,6350
0215,1967,6514
0215,1968,6923
0215,1969,7142
0215,1970,7337
0215,1971,7771
0215,1972,8228
0215,1973,8421
0215,1974,8604
0215,1975,8670
0215,1976,8773
0215,1977,8840
0215,1978,8820
0215,1979,8851
0215,1980,8810
0215,1981,8829
0215,1982,8803
0215,1983,8840
0215,1984,8922
0215,1985,9223
0215,1986,9502
0215,1987,9740
0215,1988,9888
0215,1989,9959
0215,1990,10113
0216,1951,4741
0216,1952,4805
0216,1953,4839
0216,1954,4930
0216,1955,4976
0216,1956,5230
0216,1957,5422
0216,1958,5603
0216,1959,5757
0216,1960,5930
0216,1961,6459
0216,1962,6793
0216,1963,7251
0216,1964,7577
0216,1965,7829
0216,1966,8255
0216,1967,8473
0216,1968,8688
0216,1969,8833
0216,1970,9029
0216,1971,9228
0216,1972,9372
0216,1973,9427
0216,1974,9466
0216,1975,9526
0216,1976,9562
0216,1977,9471
0216,1978,9564
0216,1979,9742
0216,1980,9856
0216,1981,9922
0216,1982,10187
0216,1983,10423
0216,1984,10739
0216,1985,11243
0216,1986,11567
0216,1987,11998
0216,1988,12458
0216,1989,12866
0216,1990,13063
0217,1951,5677
0217,1952,5805
0217,1953,5923
0217,1954,6089
0217,1955,6265
0217,1956,6367
0217,1957,6557
0217,1958,6654
0217,1959,6797
0217,1960,6999
0217,1961,7224
0217,1962,7477
0217,1963,7834
0217,1964,8515
0217,1965,9248
0217,1966,10005
0217,1967,10341
0217,1968,10887
0217,1969,11613
0217,1970,12385
0217,1971,13389
0217,1972,13523
0217,1973,14036
0217,1974,14541
0217,1975,14785
0217,1976,14943
0217,1977,15437
0217,1978,16007
0217,1979,16123
0217,1980,16258
0217,1981,16210
0217,1982,16614
0217,1983,17530
0217,1984,18328
0217,1985,18603
0217,1986,19019
0217,1987,19369
0217,1988,19725
0217,1989,19978
0217,1990,20313
0219,1951,35838
0219,1952,37136
0219,1953,38191
0219,1954,40441
0219,1955,43029
0219,1956,45466
0219,1957,48172
0219,1958,50776
0219,1959,53400
0219,1960,55425
0219,1961,57573
0219,1962,59749
0219,1963,62334
0219,1964,64360
0219,1965,66695
0219,1966,67971
0219,1967,69617
0219,1968,71066
0219,1969,72887
0219,1970,74655
0219,1971,76580
0219,1972,78780
0219,1973,80400
0219,1974,80894
0219,1975,81509
0219,1976,81492
0219,1977,81047
0219,1978,80813
0219,1979,80292
0219,1980,79819
0219,1981,80385
0219,1982,80816
0219,1983,80908
0219,1984,81295
0219,1985,82918
0219,1986,84724
0219,1987,86541
0219,1988,87773
0219,1989,88594
0219,1990,89221
0220,1951,13625
0220,1952,13706
0220,1953,13923
0220,1954,14194
0220,1955,14416
0220,1956,15161
0220,1957,15652
0220,1958,15997
0220,1959,16375
0220,1960,16949
0220,1961,17755
0220,1962,18996
0220,1963,19836
0220,1964,21406
0220,1965,22501
0220,1966,23819
0220,1967,25198
0220,1968,26730
0220,1969,27886
0220,1970,29855
0220,1971,31702
0220,1972,32613
0220,1973,33236
0220,1974,33787
0220,1975,34067
0220,1976,34341
0220,1977,34604
0220,1978,35012
0220,1979,35631
0220,1980,35923
0220,1981,35977
0220,1982,36433
0220,1983,36785
0220,1984,36931
0220,1985,37767
0220,1986,38911
0220,1987,39704
0220,1988,40365
0220,1989,40941
0220,1990,41430
0221,1966,10374
0221,1967,10428
0221,1968,10539
0221,1969,10739
0221,1970,10840
0221,1971,11144
0221,1972,11363
0221,1973,11560
0221,1974,11704
0221,1975,11851
0221,1976,11914
0221,1977,12047
0221,1978,12098
0221,1979,12189
0221,1980,12277
0221,1981,12314
0221,1982,12371
0221,1983,12463
0221,1984,12476
0221,1985,12438
0221,1986,12465
0221,1987,12534
0221,1988,12552
0221,1989,12577
0221,1990,12596
0221u,1951,2353
0221u,1952,2439
0221u,1953,2468
0221u,1954,2445
0221u,1955,2428
0221u,1956,2348
0221u,1957,2319
0221u,1958,2299
0221u,1959,2284
0221u,1960,2281
0221u,1961,2246
0221u,1962,2250
0221u,1963,2235
0221u,1964,2214
0221u,1965,2183
0222,1951,3957
0222,1952,4014
0222,1953,4025
0222,1954,4045
0222,1955,4078
0222,1956,4077
0222,1957,4056
0222,1958,4030
0222,1959,4076
0222,1960,4097
0222,1961,4086
0222,1962,4120
0222,1963,4172
0222,1964,4175
0222,1965,4186
0223,1951,949
0223,1952,931
0223,1953,916
0223,1954,916
0223,1955,910
0223,1956,906
0223,1957,901
0223,1958,881
0223,1959,882
0223,1960,873
0223,1961,855
0223,1962,851
0223,1963,826
0223,1964,815
0223,1965,821
0224,1951,3167
0224,1952,3103
0224,1953,3112
0224,1954,3075
0224,1955,3067
0224,1956,3204
0224,1957,3207
0224,1958,3187
0224,1959,3167
0224,1960,3142
0224,1961,3104
0224,1962,3108
0224,1963,3117
0224,1964,3122
0224,1965,3131
0225,1951,2231
0225,1952,2234
0225,1953,2267
0225,1954,2288
0225,1955,2311
0225,1956,2269
0225,1957,2295
0225,1958,2301
0225,1959,2321
0225,1960,2329
0225,1961,2336
0226,1951,3819
0226,1952,3887
0226,1953,3933
0226,1954,3981
0226,1955,4047
