"code","parentCode","level","name","shortName","presentationName","validFrom","validTo","validFromInRequestedRange","validToInRequestedRange","notes"
"1721","04","2","Verdal (-2017)","","","","","","","747"
"1723","04","2","Mosvik  (-2011)","","","","","","","670"
"1724","04","2","Verran (-2017)","","","","","","","721"
"1725","04","2","Namdalseid (-2017)","","","","","","","690"
"1729","04","2","Inderøy (-2011)","","","","","","","670"
"1736","06","2","Snåase - Snåsa (-2017)","","","","","","","561"
"1738","06","2","Lierne (-2017)","","","","","","","398"
"1739","06","2","Raarvihke - Røyrvik (-2017)","","","","","","","389"
"1740","06","2","Namsskogan (-2017)","","","","","","","427"
"1742","05","2","Grong (-2017)","","","","","","","593"
"1743","06","2","Høylandet (-2017)","","","","","","","525"
"1744","05","2","Overhalla (-2017)","","","","","","","611"
"1748","04","2","Fosnes (-2017)","","","","","","","690"
"1749","06","2","Flatanger (-2017)","","","","","","","475"
"1750","05","2","Vikna (-2017)","","","","","","","581"
"1751","05","2","Nærøy (-2017)","","","","","","","581"
"1755","06","2","Leka (-2017)","","","","","","","386"
"1756","04","2","Inderøy (2012-2017)","","","","","","","670"
"1804","03","2","Bodø","","","","","","","793"
"1805","04","2","Narvik (-2019)","","","","","","","686"
"1806","04","2","Narvik","","","","","","","686"
"1811","06","2","Bindal","","","","","","","426"
"1812","06","2","Sømna","","","","","","","505"
"1813","05","2","Brønnøy","","","","","","","613"
"1815","06","2","Vega","","","","","","","400"
"1816","06","2","Vevelstad","","","","","","","373"
"1818","06","2","Herøy (Nordland)","","","","","","","480"
"1820","05","2","Alstahaug","","","","","","","653"
"1822","06","2","Leirfjord","","","","","","","559"
"1824","04","2","Vefsn","","","","","","","686"
"1825","06","2","Grane","","","","","","","494"
"1826","06","2","Hattfjelldal","","","","","","","453"
"1827","06","2","Dønna","","","","","","","429"
"1828","06","2","Nesna","","","","","","","494"
"1832","05","2","Hemnes","","","","","","","567"
"1833","04","2","Rana","","","","","","","713"
"1834","06","2","Lurøy","","","","","","","362"
"1835","06","2","Træna","","","","","","","323"
"1836","06","2","Rødøy","","","","","","","338"
"1837","06","2","Meløy","","","","","","","488"
"1838","06","2","Gildeskål","","","","","","","478"
"1839","06","2","Beiarn","","","","","","","448"
"1840","05","2","Saltdal","","","","","","","603"
"1841","04","2","Fauske - Fuossko","","","","","","","679"
"1842","03","2","Skjerstad (-2004)","","","","","","","793"
"1845","06","2","Sørfold","","","","","","","547"
"1848","06","2","Steigen","","","","","","","403"
"1849","06","2","Hamarøy - Hábmer (-2019)","","","","","","","405"
"1850","06","2","Divtasvuodna - Tysfjord (-2019)","","","","","","","405"
"1851","06","2","Lødingen","","","","","","","537"
"1852","06","2","Tjeldsund (-2019)","","","","","","","542"
