kode,husholdtype,variabel,aar,verdi
0118,0000,AntallHushold,2016,610
0118,0000,AntallHushold,2017,622
0118,0000,AntallHushold,2018,618
0118,0000,AntallHushold,2019,613
0119,0000,InntSkatt,2005,296000
0119,0000,InntSkatt,2006,316000
0119,0000,InntSkatt,2007,335000
0119,0000,InntSkatt,2008,351000
0119,0000,InntSkatt,2009,360000
0119,0000,InntSkatt,2010,374000
0119,0000,InntSkatt,2011,392000
0119,0000,InntSkatt,2012,419000
0119,0000,InntSkatt,2013,430000
0119,0000,InntSkatt,2014,451000
0119,0000,InntSkatt,2015,458000
0119,0000,InntSkatt,2016,459000
0119,0000,InntSkatt,2017,477000
0119,0000,InntSkatt,2018,496000
0119,0000,InntSkatt,2019,516000
0119,0000,AntallHushold,2005,1501
0119,0000,AntallHushold,2006,1505
0119,0000,AntallHushold,2007,1517
0119,0000,AntallHushold,2008,1538
0119,0000,AntallHushold,2009,1532
0119,0000,AntallHushold,2010,1542
0119,0000,AntallHushold,2011,1560
0119,0000,AntallHushold,2012,1582
0119,0000,AntallHushold,2013,1604
0119,0000,AntallHushold,2014,1616
0119,0000,AntallHushold,2015,1632
0119,0000,AntallHushold,2016,1645
0119,0000,AntallHushold,2017,1646
0119,0000,AntallHushold,2018,1674
0119,0000,AntallHushold,2019,1684
0121,0000,InntSkatt,2005,309000
0121,0000,InntSkatt,2006,305000
0121,0000,InntSkatt,2007,338000
0121,0000,InntSkatt,2008,377000
0121,0000,InntSkatt,2009,392000
0121,0000,InntSkatt,2010,442000
0121,0000,InntSkatt,2011,440000
0121,0000,InntSkatt,2012,448000
0121,0000,InntSkatt,2013,475000
0121,0000,InntSkatt,2014,471000
0121,0000,InntSkatt,2015,486000
0121,0000,InntSkatt,2016,475000
0121,0000,InntSkatt,2017,497000
0121,0000,InntSkatt,2018,489000
0121,0000,InntSkatt,2019,504000
0121,0000,AntallHushold,2005,278
0121,0000,AntallHushold,2006,281
0121,0000,AntallHushold,2007,279
0121,0000,AntallHushold,2008,286
0121,0000,AntallHushold,2009,285
0121,0000,AntallHushold,2010,281
0121,0000,AntallHushold,2011,284
0121,0000,AntallHushold,2012,289
0121,0000,AntallHushold,2013,282
0121,0000,AntallHushold,2014,281
0121,0000,AntallHushold,2015,289
0121,0000,AntallHushold,2016,298
0121,0000,AntallHushold,2017,309
0121,0000,AntallHushold,2018,316
0121,0000,AntallHushold,2019,313
0122,0000,InntSkatt,2005,315000
0122,0000,InntSkatt,2006,333000
0122,0000,InntSkatt,2007,353000
0122,0000,InntSkatt,2008,387000
0122,0000,InntSkatt,2009,381000
0122,0000,InntSkatt,2010,393000
0122,0000,InntSkatt,2011,418000
0122,0000,InntSkatt,2012,433000
0122,0000,InntSkatt,2013,443000
0122,0000,InntSkatt,2014,464000
0122,0000,InntSkatt,2015,472000
0122,0000,InntSkatt,2016,479000
0122,0000,InntSkatt,2017,484000
0122,0000,InntSkatt,2018,494000
0122,0000,InntSkatt,2019,514000
0122,0000,AntallHushold,2005,2177
0122,0000,AntallHushold,2006,2191
0122,0000,AntallHushold,2007,2207
