Tid,GodkjenteProsent,PolitParti,Region
2013 2013,28.3,01 Arbeiderpartiet,0211 Vestby (-2019)
2017 2017,26.2,01 Arbeiderpartiet,0211 Vestby (-2019)
2013 2013,18.1,02 Fremskrittspartiet,0211 Vestby (-2019)
2017 2017,16.1,02 Fremskrittspartiet,0211 Vestby (-2019)
2013 2013,31.8,03 Høyre,0211 Vestby (-2019)
2017 2017,29.0,03 Høyre,0211 Vestby (-2019)
2013 2013,3.1,04 Kristelig Folkeparti,0211 Vestby (-2019)
2017 2017,2.1,04 Kristelig Folkeparti,0211 Vestby (-2019)
2013 2013,3.3,05 Senterpartiet,0211 Vestby (-2019)
2017 2017,6.6,05 Senterpartiet,0211 Vestby (-2019)
2013 2013,4.6,06 Sosialistisk Venstreparti,0211 Vestby (-2019)
2017 2017,6.2,06 Sosialistisk Venstreparti,0211 Vestby (-2019)
2013 2013,5.0,07 Venstre,0211 Vestby (-2019)
2017 2017,4.9,07 Venstre,0211 Vestby (-2019)
2013 2013,3.7,08 Miljøpartiet de Grønne,0211 Vestby (-2019)
2017 2017,4.7,08 Miljøpartiet de Grønne,0211 Vestby (-2019)
2013 2013,0.8,55 Rødt,0211 Vestby (-2019)
2017 2017,2.4,55 Rødt,0211 Vestby (-2019)
2013 2013,30.1,01 Arbeiderpartiet,0213 Ski (1931-2019)
2017 2017,27.8,01 Arbeiderpartiet,0213 Ski (1931-2019)
2013 2013,16.4,02 Fremskrittspartiet,0213 Ski (1931-2019)
2017 2017,14.8,02 Fremskrittspartiet,0213 Ski (1931-2019)
2013 2013,32.4,03 Høyre,0213 Ski (1931-2019)
2017 2017,29.9,03 Høyre,0213 Ski (1931-2019)
2013 2013,3.7,04 Kristelig Folkeparti,0213 Ski (1931-2019)
2017 2017,2.5,04 Kristelig Folkeparti,0213 Ski (1931-2019)
2013 2013,2.0,05 Senterpartiet,0213 Ski (1931-2019)
2017 2017,5.2,05 Senterpartiet,0213 Ski (1931-2019)
2013 2013,4.3,06 Sosialistisk Venstreparti,0213 Ski (1931-2019)
2017 2017,6.3,06 Sosialistisk Venstreparti,0213 Ski (1931-2019)
2013 2013,5.8,07 Venstre,0213 Ski (1931-2019)
2017 2017,5.5,07 Venstre,0213 Ski (1931-2019)
2013 2013,2.9,08 Miljøpartiet de Grønne,0213 Ski (1931-2019)
2017 2017,3.6,08 Miljøpartiet de Grønne,0213 Ski (1931-2019)
2013 2013,0.9,55 Rødt,0213 Ski (1931-2019)
2017 2017,2.3,55 Rødt,0213 Ski (1931-2019)
2013 2013,27.4,01 Arbeiderpartiet,0214 Ås (-2019)
2017 2017,25.2,01 Arbeiderpartiet,0214 Ås (-2019)
2013 2013,15.4,02 Fremskrittspartiet,0214 Ås (-2019)
2017 2017,13.7,02 Fremskrittspartiet,0214 Ås (-2019)
2013 2013,26.6,03 Høyre,0214 Ås (-2019)
2017 2017,22.7,03 Høyre,0214 Ås (-2019)
2013 2013,3.8,04 Kristelig Folkeparti,0214 Ås (-2019)
2017 2017,2.7,04 Kristelig Folkeparti,0214 Ås (-2019)
2013 2013,6.6,05 Senterpartiet,0214 Ås (-2019)
2017 2017,9.9,05 Senterpartiet,0214 Ås (-2019)
2013 2013,6.1,06 Sosialistisk Venstreparti,0214 Ås (-2019)
2017 2017,8.3,06 Sosialistisk Venstreparti,0214 Ås (-2019)
2013 2013,7.0,07 Venstre,0214 Ås (-2019)
2017 2017,6.1,07 Venstre,0214 Ås (-2019)
2013 2013,4.9,08 Miljøpartiet de Grønne,0214 Ås (-2019)
2017 2017,6.5,08 Miljøpartiet de Grønne,0214 Ås (-2019)
2013 2013,1.0,55 Rødt,0214 Ås (-2019)
2017 2017,3.3,55 Rødt,0214 Ås (-2019)
2013 2013,24.4,01 Arbeiderpartiet,0215 Frogn (-2019)
2017 2017,22.4,01 Arbeiderpartiet,0215 Frogn (-2019)
2013 2013,17.1,02 Fremskrittspartiet,0215 Frogn (-2019)
2017 2017,15.0,02 Fremskrittspartiet,0215 Frogn (-2019)
2013 2013,37.4,03 Høyre,0215 Frogn (-2019)
2017 2017,36.9,03 Høyre,0215 Frogn (-2019)
2013 2013,2.4,04 Kristelig Folkeparti,0215 Frogn (-2019)
2017 2017,1.7,04 Kristelig Folkeparti,0215 Frogn (-2019)
2013 2013,2.4,05 Senterpartiet,0215 Frogn (-2019)
2017 2017,4.6,05 Senterpartiet,0215 Frogn (-2019)
2013 2013,3.5,06 Sosialistisk Venstreparti,0215 Frogn (-2019)
